date,cases,deaths,new_cases,new_deaths,cases_7day_avg,deaths_7day_avg,fatality_rate
2021-05-27,33338001,589069,26546.0,1350.0,19851.0,631.5714285714286,1.7669595726510416
2021-05-28,33359917,589604,21916.0,535.0,17592.714285714286,595.1428571428571,1.7674024788490932
2021-05-29,33372891,589931,12974.0,327.0,17205.14285714286,595.8571428571429,1.7676952230479523
2021-05-30,33380097,590079,7206.0,148.0,16096.57142857143,535.7142857142857,1.7677569960326958
2021-05-31,33386447,590261,6350.0,182.0,14871.285714285714,432.7142857142857,1.7679659054466021
2021-06-01,33407540,590904,21093.0,643.0,14242.285714285714,430.0,1.768774354531941
2021-06-02,33424131,591469,16591.0,565.0,14554.142857142857,467.0,1.7695867695109262
2021-06-03,33442100,592098,17969.0,629.0,14367.0,470.0,1.7705168036696262
2021-06-04,33459613,592614,17513.0,516.0,15486.42857142857,487.85714285714283,1.7711322602565667
2021-06-05,33474770,593200,15157.0,586.0,14301.57142857143,439.85714285714283,1.7720808836027848
2021-06-06,33480666,593369,5896.0,169.0,14531.57142857143,427.0,1.7722735861944923
2021-06-07,33494852,593676,14186.0,307.0,14038.42857142857,394.57142857142856,1.7724395378728646
2021-06-08,33507651,593983,12799.0,307.0,15037.142857142857,396.0,1.7726787234354329
2021-06-09,33525852,594458,18201.0,475.0,14132.0,350.7142857142857,1.7731331630289366
2021-06-10,33540369,594860,14517.0,402.0,14008.142857142857,342.57142857142856,1.77356426818083
2021-06-11,33564873,595386,24504.0,526.0,13682.285714285714,325.2857142857143,1.7738365939891982
2021-06-12,33573694,595655,8821.0,269.0,13374.285714285714,327.57142857142856,1.774171766740949
2021-06-13,33578723,595767,5029.0,112.0,12453.285714285714,314.57142857142856,1.774239598093114
2021-06-14,33590628,595953,11905.0,186.0,12025.42857142857,299.85714285714283,1.7741645080288466
2021-06-15,33601271,596276,10643.0,323.0,11522.857142857143,310.2857142857143,1.7745638252791092
2021-06-16,33613025,596660,11754.0,384.0,11532.57142857143,296.14285714285717,1.7750856996655313
2021-06-17,33624547,596959,11522.0,299.0,11518.285714285714,291.57142857142856,1.7753666688803273
2021-06-18,33645533,597558,20986.0,599.0,11350.142857142857,302.2857142857143,1.7760396305803803
2021-06-19,33654422,597728,8889.0,170.0,11368.285714285714,304.85714285714283,1.7760756669658448
2021-06-20,33659351,597808,4929.0,80.0,11473.42857142857,305.14285714285717,1.776053257830194
2021-06-21,33670079,598069,10728.0,261.0,11855.285714285714,311.42857142857144,1.7762625386177442
2021-06-22,33680849,598410,10770.0,341.0,12358.57142857143,301.2857142857143,1.77670699452974
